"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"athletic - barcelona","50K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"athletic - barcelona,athletic club vs barcelona,athletic vs. barcelona","https://trends.google.com/trends/explore?q=athletic%20-%20barcelona&geo=US&hl=en-US"
"indy 500 live","50K+","May 25, 2025 at 9:00:00 PM UTC+5:30",,"indy 500 live,indy 500 leaderboard,indy 500 live stream,indy 500 winners,sato indy 500,fox sports indy 500,indy 500 running order,watch indy 500,indy,indy 500 live leaderboard,indy 500 live updates,indianapolis 500 race,indy 500 where to watch,indy 500 race,indy 500 update,stream indy 500,indy 500 results,indy 500 stream,indycar live,indy 500 updates,2024 indy 500 winner,indy 500 updates live,indy 500 racers,indy 500 laps,indy 500 drivers 2025,robert schwartzman,2025 indy 500,indy 500 current status,ntt indycar,where can i watch the indy 500,how to watch the indy 500,newgarden indy 500,indy 500 rain delay 2025,indy 500 odds,indy 500 lineup 2025,indy 500 green flag time,indy 500 delay 2025,indy 500 track,indy 500 grid,indy 500 flyover 2025,watch indy 500 free,indy 500 watch,what channel is indy 500 on,where is the indy 500,is the indy 500 delayed,starting grid for indy 500,what time does the indy 500 start today,indy 500 watch live,how long is indy 500,indy 500 broadcast","https://trends.google.com/trends/explore?q=indy%20500%20live&geo=US&hl=en-US"
"premier league standings","200K+","May 25, 2025 at 8:40:00 PM UTC+5:30",,"premier league standings,premier league,epl standings,epl,epl table,premier league table,english premier league,newcastle,pl table,newcastle united,premier league live table,epl live table,chelsea standings,bbc football,prem table,prem","https://trends.google.com/trends/explore?q=premier%20league%20standings&geo=US&hl=en-US"
"tarik skubal","5K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"tarik skubal,skubal,zach mckinstry","https://trends.google.com/trends/explore?q=tarik%20skubal&geo=US&hl=en-US"
"unc women's lacrosse","10K+","May 25, 2025 at 9:40:00 PM UTC+5:30",,"unc women's lacrosse,northwestern women's lacrosse,unc women's lacrosse roster,ncaa women's lacrosse,north carolina women's lacrosse,chloe humphrey,northwestern university,unc womens lacrosse,unc vs northwestern lacrosse,chloe humphrey unc","https://trends.google.com/trends/explore?q=unc%20women%27s%20lacrosse&geo=US&hl=en-US"
"scott mclaughlin","10K+","May 25, 2025 at 10:50:00 PM UTC+5:30",,"scott mclaughlin,scott dixon,scott mclaughlin indy 500,mclaughlin indy 500,indy 500 crash,marco andretti indy 500,andretti indy 500,scott mclaughlin crash","https://trends.google.com/trends/explore?q=scott%20mclaughlin&geo=US&hl=en-US"
"marco andretti","5K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"marco andretti","https://trends.google.com/trends/explore?q=marco%20andretti&geo=US&hl=en-US"
"reese mcguire","5K+","May 25, 2025 at 8:50:00 PM UTC+5:30",,"reese mcguire","https://trends.google.com/trends/explore?q=reese%20mcguire&geo=US&hl=en-US"
"ed carpenter","2K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"ed carpenter,ed carpenter racing","https://trends.google.com/trends/explore?q=ed%20carpenter&geo=US&hl=en-US"
"benfica vs sporting","5K+","May 25, 2025 at 9:00:00 PM UTC+5:30",,"benfica vs sporting,sporting cp","https://trends.google.com/trends/explore?q=benfica%20vs%20sporting&geo=US&hl=en-US"
"best anime awards","2K+","May 25, 2025 at 8:40:00 PM UTC+5:30",,"best anime awards","https://trends.google.com/trends/explore?q=best%20anime%20awards&geo=US&hl=en-US"
"kyle larson indy 500","5K+","May 25, 2025 at 8:40:00 PM UTC+5:30",,"kyle larson indy 500,larson indy 500,jeff gordon","https://trends.google.com/trends/explore?q=kyle%20larson%20indy%20500&geo=US&hl=en-US"
"aston villa","10K+","May 25, 2025 at 8:50:00 PM UTC+5:30",,"aston villa,manchester united vs aston villa,manchester united f.c.,aston villa f.c.,epl fixtures,aston villa standings,aston villa vs man united","https://trends.google.com/trends/explore?q=aston%20villa&geo=US&hl=en-US"
"aj foyt","2K+","May 25, 2025 at 8:30:00 PM UTC+5:30",,"aj foyt,a j foyt","https://trends.google.com/trends/explore?q=aj%20foyt&geo=US&hl=en-US"
"nadal","5K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"nadal,andy murray,roger federer,rafa nadal,rafael nadal tribute roland garros,federer,rafael nadal wife","https://trends.google.com/trends/explore?q=nadal&geo=US&hl=en-US"
"ole miss baseball","5K+","May 25, 2025 at 10:40:00 PM UTC+5:30",,"ole miss baseball,vanderbilt baseball,ole miss baseball score,college baseball scores,ole miss vs vanderbilt baseball","https://trends.google.com/trends/explore?q=ole%20miss%20baseball&geo=US&hl=en-US"
"ben shelton","2K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"ben shelton","https://trends.google.com/trends/explore?q=ben%20shelton&geo=US&hl=en-US"
"ben griffin","2K+","May 25, 2025 at 10:50:00 PM UTC+5:30",,"ben griffin,ben griffin golf","https://trends.google.com/trends/explore?q=ben%20griffin&geo=US&hl=en-US"
"trent alexander-arnold","2K+","May 25, 2025 at 9:30:00 PM UTC+5:30",,"trent alexander-arnold,alexander arnold","https://trends.google.com/trends/explore?q=trent%20alexander-arnold&geo=US&hl=en-US"
"buga colombia ufo sphere","2K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"buga colombia ufo sphere","https://trends.google.com/trends/explore?q=buga%20colombia%20ufo%20sphere&geo=US&hl=en-US"
"clemson baseball","5K+","May 25, 2025 at 9:50:00 PM UTC+5:30",,"clemson baseball,clemson baseball score,unc baseball score","https://trends.google.com/trends/explore?q=clemson%20baseball&geo=US&hl=en-US"
"indy 500 standings","10K+","May 25, 2025 at 10:50:00 PM UTC+5:30",,"indy 500 standings,tony kanaan,indy 500 delay,indy weather,tony kanaan indy 500,weather indianapolis,indy 500 rain delay,weather in indianapolis,indianapolis 500 weather,indy 500 delayed,indy 500 rain","https://trends.google.com/trends/explore?q=indy%20500%20standings&geo=US&hl=en-US"
"benfica","2K+","May 25, 2025 at 10:00:00 PM UTC+5:30",,"benfica,taça de portugal","https://trends.google.com/trends/explore?q=benfica&geo=US&hl=en-US"
"christophe clement","2K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"christophe clement","https://trends.google.com/trends/explore?q=christophe%20clement&geo=US&hl=en-US"
"indy 500 radio broadcast","2K+","May 25, 2025 at 8:30:00 PM UTC+5:30",,"indy 500 radio broadcast,indy 500 radio,foxsports","https://trends.google.com/trends/explore?q=indy%20500%20radio%20broadcast&geo=US&hl=en-US"
"venezia vs juventus","1K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"venezia vs juventus","https://trends.google.com/trends/explore?q=venezia%20vs%20juventus&geo=US&hl=en-US"
"benfica - sporting lisboa","2K+","May 25, 2025 at 9:10:00 PM UTC+5:30",,"benfica - sporting lisboa","https://trends.google.com/trends/explore?q=benfica%20-%20sporting%20lisboa&geo=US&hl=en-US"
"keanu reeves","2K+","May 25, 2025 at 11:20:00 PM UTC+5:30",,"keanu reeves","https://trends.google.com/trends/explore?q=keanu%20reeves&geo=US&hl=en-US"
"rickie fowler","1K+","May 25, 2025 at 10:40:00 PM UTC+5:30",,"rickie fowler","https://trends.google.com/trends/explore?q=rickie%20fowler&geo=US&hl=en-US"
"palmeiras vs flamengo","1K+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"palmeiras vs flamengo,palmeiras x flamengo","https://trends.google.com/trends/explore?q=palmeiras%20vs%20flamengo&geo=US&hl=en-US"
"moon mango grow a garden","1K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"moon mango grow a garden,moon mango","https://trends.google.com/trends/explore?q=moon%20mango%20grow%20a%20garden&geo=US&hl=en-US"
"fox","2K+","May 25, 2025 at 10:10:00 PM UTC+5:30",,"fox","https://trends.google.com/trends/explore?q=fox&geo=US&hl=en-US"
"torino vs roma","1K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"torino vs roma,torino - roma","https://trends.google.com/trends/explore?q=torino%20vs%20roma&geo=US&hl=en-US"
"will power","2K+","May 25, 2025 at 8:30:00 PM UTC+5:30",,"will power","https://trends.google.com/trends/explore?q=will%20power&geo=US&hl=en-US"
"finn wolfhard","1K+","May 25, 2025 at 10:00:00 PM UTC+5:30",,"finn wolfhard","https://trends.google.com/trends/explore?q=finn%20wolfhard&geo=US&hl=en-US"
"iihf world championship 2025","1K+","May 25, 2025 at 11:50:00 PM UTC+5:30",,"iihf world championship 2025,usa hockey,usa vs switzerland hockey","https://trends.google.com/trends/explore?q=iihf%20world%20championship%202025&geo=US&hl=en-US"
"conor daly","500+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"conor daly","https://trends.google.com/trends/explore?q=conor%20daly&geo=US&hl=en-US"
"ecu baseball","1K+","May 25, 2025 at 10:00:00 PM UTC+5:30",,"ecu baseball","https://trends.google.com/trends/explore?q=ecu%20baseball&geo=US&hl=en-US"
"jack harvey","500+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"jack harvey","https://trends.google.com/trends/explore?q=jack%20harvey&geo=US&hl=en-US"
"michael andretti","2K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"michael andretti","https://trends.google.com/trends/explore?q=michael%20andretti&geo=US&hl=en-US"
"mo salah","1K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"mo salah","https://trends.google.com/trends/explore?q=mo%20salah&geo=US&hl=en-US"
"ntt","500+","May 25, 2025 at 11:20:00 PM UTC+5:30",,"ntt","https://trends.google.com/trends/explore?q=ntt&geo=US&hl=en-US"
"glen powell","1K+","May 25, 2025 at 9:50:00 PM UTC+5:30",,"glen powell","https://trends.google.com/trends/explore?q=glen%20powell&geo=US&hl=en-US"
"demi lovato","1K+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"demi lovato,jordan lutes","https://trends.google.com/trends/explore?q=demi%20lovato&geo=US&hl=en-US"
"andretti","1K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"andretti","https://trends.google.com/trends/explore?q=andretti&geo=US&hl=en-US"
"chicago vs new york city","500+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"chicago vs new york city","https://trends.google.com/trends/explore?q=chicago%20vs%20new%20york%20city&geo=US&hl=en-US"
"is home depot open on memorial day","1K+","May 25, 2025 at 8:20:00 PM UTC+5:30",,"is home depot open on memorial day","https://trends.google.com/trends/explore?q=is%20home%20depot%20open%20on%20memorial%20day&geo=US&hl=en-US"
"ath. bilbao – barcelone","500+","May 25, 2025 at 11:50:00 PM UTC+5:30",,"ath. bilbao – barcelone","https://trends.google.com/trends/explore?q=ath.%20bilbao%20%E2%80%93%20barcelone&geo=US&hl=en-US"
"venezia - juventus","500+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"venezia - juventus","https://trends.google.com/trends/explore?q=venezia%20-%20juventus&geo=US&hl=en-US"
"memphis weather","1K+","May 25, 2025 at 11:10:00 PM UTC+5:30",,"memphis weather,weather memphis","https://trends.google.com/trends/explore?q=memphis%20weather&geo=US&hl=en-US"
"za'darius smith","1K+","May 25, 2025 at 10:00:00 PM UTC+5:30",,"za'darius smith","https://trends.google.com/trends/explore?q=za%27darius%20smith&geo=US&hl=en-US"
"ben brown","500+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"ben brown","https://trends.google.com/trends/explore?q=ben%20brown&geo=US&hl=en-US"
"husker softball","500+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"husker softball,nebraska vs tennessee softball","https://trends.google.com/trends/explore?q=husker%20softball&geo=US&hl=en-US"
"atalanta vs parma","500+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"atalanta vs parma","https://trends.google.com/trends/explore?q=atalanta%20vs%20parma&geo=US&hl=en-US"
"david malukas","1K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"david malukas,santino ferrucci","https://trends.google.com/trends/explore?q=david%20malukas&geo=US&hl=en-US"
"ron johnson","1K+","May 25, 2025 at 9:40:00 PM UTC+5:30",,"ron johnson","https://trends.google.com/trends/explore?q=ron%20johnson&geo=US&hl=en-US"
"who won indy 500 in 2024","500+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"who won indy 500 in 2024,who won the indy 500 in 2024","https://trends.google.com/trends/explore?q=who%20won%20indy%20500%20in%202024&geo=US&hl=en-US"
"iihf","500+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"iihf","https://trends.google.com/trends/explore?q=iihf&geo=US&hl=en-US"
"mohamed salah","1K+","May 25, 2025 at 10:10:00 PM UTC+5:30",,"mohamed salah,salah,golden boot","https://trends.google.com/trends/explore?q=mohamed%20salah&geo=US&hl=en-US"
"strawberry festival vista","1K+","May 25, 2025 at 8:50:00 PM UTC+5:30",,"strawberry festival vista","https://trends.google.com/trends/explore?q=strawberry%20festival%20vista&geo=US&hl=en-US"
"graham rahal","500+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"graham rahal","https://trends.google.com/trends/explore?q=graham%20rahal&geo=US&hl=en-US"
"putin","500+","May 26, 2025 at 12:00:00 AM UTC+5:30",,"putin","https://trends.google.com/trends/explore?q=putin&geo=US&hl=en-US"
"nebraska softball game today","500+","May 25, 2025 at 11:10:00 PM UTC+5:30",,"nebraska softball game today","https://trends.google.com/trends/explore?q=nebraska%20softball%20game%20today&geo=US&hl=en-US"
"emilio nava","200+","May 25, 2025 at 11:10:00 PM UTC+5:30",,"emilio nava","https://trends.google.com/trends/explore?q=emilio%20nava&geo=US&hl=en-US"
"charles schwab golf tournament","200+","May 25, 2025 at 11:20:00 PM UTC+5:30",,"charles schwab golf tournament","https://trends.google.com/trends/explore?q=charles%20schwab%20golf%20tournament&geo=US&hl=en-US"
"lazio vs lecce","200+","May 25, 2025 at 11:40:00 PM UTC+5:30",,"lazio vs lecce","https://trends.google.com/trends/explore?q=lazio%20vs%20lecce&geo=US&hl=en-US"
"labor day","500+","May 25, 2025 at 11:20:00 PM UTC+5:30",,"labor day","https://trends.google.com/trends/explore?q=labor%20day&geo=US&hl=en-US"
"newgarden","2K+","May 25, 2025 at 9:40:00 PM UTC+5:30",,"newgarden,josef newgarden wife,newgarden cheating","https://trends.google.com/trends/explore?q=newgarden&geo=US&hl=en-US"
"tommy fleetwood","200+","May 26, 2025 at 12:00:00 AM UTC+5:30",,"tommy fleetwood","https://trends.google.com/trends/explore?q=tommy%20fleetwood&geo=US&hl=en-US"
"travis kelce back hair","200+","May 25, 2025 at 11:50:00 PM UTC+5:30",,"travis kelce back hair","https://trends.google.com/trends/explore?q=travis%20kelce%20back%20hair&geo=US&hl=en-US"